city_code,prefecture_name,city_name,prefecture_name_k,city_name_k
221015,静岡県,静岡市葵区,,
221023,静岡県,静岡市駿河区,,
221031,静岡県,静岡市清水区,,
221317,静岡県,浜松市中区,,
221325,静岡県,浜松市東区,,
221333,静岡県,浜松市西区,,
221341,静岡県,浜松市南区,,
221350,静岡県,浜松市北区,,
221368,静岡県,浜松市浜北区,,
221376,静岡県,浜松市天竜区,,
231011,愛知県,名古屋市千種区,,
231029,愛知県,名古屋市東区,,
231037,愛知県,名古屋市北区,,
231045,愛知県,名古屋市西区,,
231053,愛知県,名古屋市中村区,,
231061,愛知県,名古屋市中区,,
231070,愛知県,名古屋市昭和区,,
231088,愛知県,名古屋市瑞穂区,,
231096,愛知県,名古屋市熱田区,,
231100,愛知県,名古屋市中川区,,
231118,愛知県,名古屋市港区,,
231126,愛知県,名古屋市南区,,
231134,愛知県,名古屋市守山区,,
231142,愛知県,名古屋市緑区,,
231151,愛知県,名古屋市名東区,,
231169,愛知県,名古屋市天白区,,
261017,京都府,京都市北区,,
261025,京都府,京都市上京区,,
261033,京都府,京都市左京区,,
261041,京都府,京都市中京区,,
261050,京都府,京都市東山区,,
261068,京都府,京都市下京区,,
261076,京都府,京都市南区,,
261084,京都府,京都市右京区,,
261092,京都府,京都市伏見区,,
261106,京都府,京都市山科区,,
261114,京都府,京都市西京区,,
271021,大阪府,大阪市都島区,,
271039,大阪府,大阪市福島区,,
271047,大阪府,大阪市此花区,,
271063,大阪府,大阪市西区,,
271071,大阪府,大阪市港区,,
271080,大阪府,大阪市大正区,,
271098,大阪府,大阪市天王寺区,,
271110,大阪府,大阪市浪速区,,
271136,大阪府,大阪市西淀川区,,
271144,大阪府,大阪市東淀川区,,
271152,大阪府,大阪市東成区,,
271161,大阪府,大阪市生野区,,
271179,大阪府,大阪市旭区,,
271187,大阪府,大阪市城東区,,
271195,大阪府,大阪市阿倍野区,,
271209,大阪府,大阪市住吉区,,
271217,大阪府,大阪市東住吉区,,
271225,大阪府,大阪市西成区,,
271233,大阪府,大阪市淀川区,,
271241,大阪府,大阪市鶴見区,,
271250,大阪府,大阪市住之江区,,
271268,大阪府,大阪市平野区,,
271276,大阪府,大阪市北区,,
271284,大阪府,大阪市中央区,,
271411,大阪府,堺市堺区,,
271420,大阪府,堺市中区,,
271438,大阪府,堺市東区,,
271446,大阪府,堺市西区,,
271454,大阪府,堺市南区,,
271462,大阪府,堺市北区,,
271471,大阪府,堺市美原区,,
281018,兵庫県,神戸市東灘区,,
281026,兵庫県,神戸市灘区,,
281051,兵庫県,神戸市兵庫区,,
281069,兵庫県,神戸市長田区,,
281077,兵庫県,神戸市須磨区,,
281085,兵庫県,神戸市垂水区,,
281093,兵庫県,神戸市北区,,
281107,兵庫県,神戸市中央区,,
281115,兵庫県,神戸市西区,,
331015,岡山県,岡山市北区,,
331023,岡山県,岡山市中区,,
331031,岡山県,岡山市東区,,
331040,岡山県,岡山市南区,,
341011,広島県,広島市中区,,
341029,広島県,広島市東区,,
341037,広島県,広島市南区,,
341045,広島県,広島市西区,,
341053,広島県,広島市安佐南区,,
341061,広島県,広島市安佐北区,,
341070,広島県,広島市安芸区,,
341088,広島県,広島市佐伯区,,
401013,福岡県,北九州市門司区,,
401030,福岡県,北九州市若松区,,
401056,福岡県,北九州市戸畑区,,
401064,福岡県,北九州市小倉北区,,
401072,福岡県,北九州市小倉南区,,
401081,福岡県,北九州市八幡東区,,
401099,福岡県,北九州市八幡西区,,
401315,福岡県,福岡市東区,,
401323,福岡県,福岡市博多区,,
401331,福岡県,福岡市中央区,,
401340,福岡県,福岡市南区,,
401358,福岡県,福岡市西区,,
401366,福岡県,福岡市城南区,,
401374,福岡県,福岡市早良区,,
431010,熊本県,熊本市中央区,,
431028,熊本県,熊本市東区,,
431036,熊本県,熊本市西区,,
431044,熊本県,熊本市南区,,
431052,熊本県,熊本市北区,,
